topic 0
React : 0.0125769390949
es6 : 0.00483047242839
TypeScript : 0.00421075509506
react.js : 0.00328117909508
flux : 0.0023516030951
monaca : 0.00142202709512
Draft.js : 0.00142202709512

topic 28
Android : 0.0546959754687
AndroidStudio : 0.00890554592494
Kotlin : 0.00298705503154
Espresso : 0.00267555551083
DataBinding : 0.00174105694872
Pepper : 0.00174105694872
AndroidN : 0.00174105694872
RecyclerView : 0.00142955742801
android開発 : 0.00142955742801
mBaas : 0.00111805790731

topic 29
JavaScript : 0.0295027553212
Node.js : 0.0243262923035
gulp : 0.011672716038
webpack : 0.0113851347592
npm : 0.00994722836538
TypeScript : 0.00879690325033
Electron : 0.00620867174147
babel : 0.00448318406889
jQuery : 0.00419560279013
Angular2 : 0.00390802151137

topic 30
Java : 0.0333688184754
spring-boot : 0.0108285122713
spring : 0.00957627303774
gradle : 0.00550649552867
Maven : 0.00394119648672
Eclipse : 0.00362813667833
JUnit : 0.00268895725316
petalinux : 0.00237589744477
Tomcat : 0.00174977782799
Spark : 0.00174977782799

topic 31
adamTaylor : 0.014845491468
TechEnglish : 0.00592340054081
AMP : 0.00560475443626
iOS : 0.00305558559993
Ruby : 0.00146235507722
zybo : 0.00146235507722
Alarm : 0.00146235507722
AXI4 : 0.00146235507722
XADC : 0.00114370897268
C : 0.00114370897268

topic 32
Ansible : 0.0233168725632
Linux : 0.00344896362448
chef : 0.00279755677403
Network : 0.00279755677403
Cisco : 0.00214614992358
capistrano : 0.00214614992358
ls : 0.00116903964791
Dbus : 0.00116903964791
Python : 0.00116903964791
ShellScript : 0.00116903964791

topic 33
docker : 0.081800222227
docker-compose : 0.00697643843529
Go : 0.00579345371131
golang : 0.00461046898733
docker-machine : 0.00313173808236
CentOS : 0.00283599190136
rancher : 0.00224449953937
Redis : 0.00224449953937
alpine : 0.00194875335838
DockerHub : 0.00194875335838

topic 34
Ruby : 0.0586887578387
Rails : 0.0523092217268
Rails4 : 0.00792984007839
homebrew : 0.00765246894308
RubyOnRails : 0.00654298440187
Gem : 0.00432401531946
